,Nombre,Precio,Categoría
0,Vestido maxi de algodón,$749.00,Mujer
1,Mascada en muselina con diseño,$499.00,Mujer
2,Vestido caftán con bordado inglés,"$1,799.00",Mujer
3,Mascada con diseño,$379.00,Mujer
4,Bolso shopper grande,$749.00,Mujer
5,Top de bikini triangular,$499.00,Mujer
6,Vestido tejido con flecos,$999.00,Mujer
7,Top de bikini triangular con relleno,$329.00,Mujer
8,Top de bikini triangular con relleno,$379.00,Mujer
9,Shorts con borde de crochet,$749.00,Mujer
10,Collar de conchas,$999.00,Mujer
11,Pulsera de conchas,$449.00,Mujer
12,Aretes acanalados,$249.00,Mujer
13,Vestido con bordado,"$1,699.00",Mujer
14,Falda maxi de ramio,"$1,299.00",Mujer
15,Vestido bandeau con vuelo,$899.00,Mujer
16,Vestido a los hombros en tejido jacquard,"$1,299.00",Mujer
17,Shorts en mezcla de lino,$299.00,Mujer
18,Vestido halter con cuentas,$299.00,Mujer
19,Feather Soft Wide High Jeans,$699.00,Mujer
20,Baggy High Jeans,$699.00,Mujer
21,Baggy Wide Low Jeans,$699.00,Mujer
22,Flared High Jeans,$449.00,Mujer
23,Feather Soft Wide High Jeans,$699.00,Mujer
24,Baggy Low Jeans,$499.00,Mujer
25,Jeans Wide High,$549.00,Mujer
26,Feather Soft Wide High Jeans,$699.00,Mujer
27,Baggy Wide Low Ankle Jeans,$699.00,Mujer
28,Baggy Wide Low Jeans,$699.00,Mujer
29,Baggy Low Jeans,$499.00,Mujer
30,Baggy Wide Low Ankle Jeans,$699.00,Mujer
31,Curvy Fit Baggy High Jeans,$699.00,Mujer
32,Feather Soft Wide High Jeans,$699.00,Mujer
33,Straight High Cropped Jeans,$699.00,Mujer
34,Straight High Cropped Jeans,$699.00,Mujer
35,Baggy High Jeans,$699.00,Mujer
36,Straight High Cropped Jeans,$699.00,Mujer
37,Playera con diseño estampado,$249.00,Mujer
38,Playera con diseño estampado,$249.00,Mujer
39,Body con tirantes spaghetti,$249.00,Mujer
40,Sandalias,$499.00,Mujer
41,Vestido de crepé con botones al frente,$599.00,Mujer
42,Vestido de crepé con botones al frente,$599.00,Mujer
43,Vestido oversized a los hombros,$849.00,Mujer
44,Top en tejido acanalado,$299.00,Mujer
45,Gorro pescador,$399.00,Mujer
46,Vestido maxi con capas,$699.00,Mujer
47,Shorts de punto,$399.00,Mujer
48,Top con cuello clásico,$449.00,Mujer
49,Playera en tejido fino,$349.00,Mujer
50,Vestido camisa en mezcla de lino,$629.00,Mujer
51,Top sin mangas,$249.00,Mujer
52,Camisa popover en muselina,$499.00,Mujer
53,Blusa con mangas globo,$499.00,Mujer
54,Minifalda circular,$449.00,Mujer
55,Pantalón ancho,$579.00,Mujer
56,Vestido de punto con detalle girado,$449.00,Mujer
57,Hotpants deportivos Seamless en DryMove™,$199.00,Mujer
58,Top deportivo Light Support en DryMove™,$299.00,Mujer
59,Top deportivo Light Support en DryMove™,$299.00,Mujer
60,Top deportivo Light Support en DryMove™,$299.00,Mujer
61,Top deportivo Seamless en DryMove™,$249.00,Mujer
62,Shorts deportivos en DryMove™,$449.00,Mujer
63,Shorts deportivos en DryMove™,$449.00,Mujer
64,Shorts biker deportivos en DryMove™,$299.00,Mujer
65,Top deportivo corto en DryMove™,$249.00,Mujer
66,Playera de algodón,$149.00,Mujer
67,Traje de baño Bandeau High-leg con relleno,$489.00,Mujer
68,Pantalón corto,$379.00,Mujer
69,Top de un hombro,$249.00,Mujer
70,Top de un hombro,$249.00,Mujer
71,Vestido midi con aberturas,$549.00,Mujer
72,Pijama de playera y shorts,$379.00,Mujer
73,Falda en bordado inglés,$729.00,Mujer
74,Playera oversized,$199.00,Mujer
75,Zapatillas,$579.00,Mujer
76,Sandalias,$499.00,Mujer
77,Traje de baño Bandeau High-leg con relleno,$489.00,Mujer
78,Vestido de punto con olanes,$99.00,Mujer
79,Off-the-shoulder jersey top,$299.00,Mujer
80,Pijama de playera y shorts,$379.00,Mujer
81,Blusa de algodón,$449.00,Mujer
82,Sandalias con hebilla,$399.00,Mujer
83,Traje de baño Bandeau High-leg con relleno,$449.00,Mujer
84,Top de un hombro,$249.00,Mujer
85,Bailarinas,$299.00,Mujer
86,Vestido largo de tirantes,$599.00,Mujer
87,Vestido fruncido con vuelo,$199.00,Mujer
88,Top de tirantes drapeado,$249.00,Mujer
89,Traje de baño con relleno y aberturas,$579.00,Mujer
90,Pantalón mezcla de lino,$489.00,Mujer
91,Playera de algodón,$249.00,Mujer
92,Falda en bordado inglés,$729.00,Mujer
93,Sandalias tipo alpargata con detalle de nudo,$399.00,Mujer
94,Pijama entero de algodón,$199.00,Mujer
95,Top corto,$199.00,Mujer
96,Sandalias con hebilla,$399.00,Mujer
97,Shorts en mezcla de lino,$299.00,Mujer
98,Top de tubo,$249.00,Mujer
99,Pijama de playera y shorts,$379.00,Mujer
100,2-pack Shorts biker en DryMove™,$499.00,Mujer
101,Vestido corrugado con lazos,$549.00,Mujer
102,Hotpants High Waist,$249.00,Mujer
103,Blusa en mezcla de lino,$449.00,Mujer
104,2-pack Shorts biker en DryMove™,$499.00,Mujer
105,Shorts a la rodilla,$599.00,Mujer
106,Camisa popover en muselina,$499.00,Mujer
107,Vestido de tirantes línea A,$449.00,Mujer
108,Camisa Feather Soft Denim,$699.00,Mujer
109,Top con olanes,$399.00,Mujer
110,Top de tirantes drapeado,$249.00,Mujer
111,Shorts paper bag,$99.00,Mujer
112,Top de tirantes con olanes,$249.00,Mujer
113,Conjunto 2 piezas con diseño,$199.00,Mujer
114,Pantalón corto,$379.00,Mujer
115,Vestido largo Línea A,$549.00,Mujer
116,Top de bikini bandeau con relleno,$449.00,Mujer
117,Bragas de bikini Cheeky,$329.00,Mujer
118,Sombrero de ala ancha,$449.00,Mujer
119,Shorts de talle alto en denim,$489.00,Mujer
120,Vestido de tirantes en viscosa,$489.00,Mujer
121,Playera con diseño,$199.00,Mujer
122,Falda corrugada con diseño cruzado,$329.00,Mujer
123,Pantalón en mezcla de lino,$399.00,Mujer
124,Blusa con olán,$349.00,Mujer
125,Vestido con mangas globo y cinturón,$499.00,Mujer
126,Vestido en piqué de algodón,$299.00,Mujer
127,Vestido de tubo,$489.00,Mujer
128,Sandalias con hebilla,$399.00,Mujer
129,Pijama de punto,$499.00,Mujer
130,Top de tirantes con olanes,$249.00,Mujer
131,5-pack Playeras de algodón,$579.00,Mujer
132,MAMA 2-pack shorts de ciclismo,$449.00,Mujer
133,Sandalias de tacón,$649.00,Mujer
134,Falda de crepé,$479.00,Mujer
135,2-pack de tops de tirantes,$249.00,Mujer
136,Top de bikini triangular con relleno,$199.00,Mujer
137,Playera corta,$99.00,Mujer
138,Sandalias tipo alpargata con detalle de nudo,$399.00,Mujer
139,Playera oversized,$199.00,Mujer
140,Top de tirantes,$449.00,Mujer
141,Vestido midi con cordón de ajuste,$449.00,Mujer
142,Leggings Capri,$199.00,Mujer
143,Leggings Capri,$199.00,Mujer
144,Traje de baño Medium Shape,$699.00,Mujer
145,Gorro pescador de algodón con bordes deshilados,$299.00,Mujer
146,Blusa cruzada en popelina,$999.00,Mujer
147,Vestido de tirantes,$449.00,Mujer
148,Playera de algodón,$249.00,Mujer
149,Vestido corrugado con lazos,$549.00,Mujer
150,Top de tirantes con olanes,$249.00,Mujer
151,Bragas de bikini con apariencia de crochet,$489.00,Mujer
152,Playera Regular Fit,$249.00,Mujer
153,Top de tirantes drapeado,$249.00,Mujer
154,Joggers en mezcla de lino,$549.00,Mujer
155,Pijama entero de algodón,$199.00,Mujer
156,Vestido largo Línea A,$549.00,Mujer
157,Vestido con cuello en V,$749.00,Mujer
158,Bragas de bikini High Waist Cheeky,$379.00,Mujer
159,Aretes gruesos diseño domo,$149.00,Mujer
160,Shorts Bermuda Baggy High en denim,$549.00,Mujer
161,Vestido de punto con escote cuadrado,$399.00,Mujer
162,Vestido caftán con olanes,"$2,999.00",Mujer
163,Shorts de punto,$399.00,Mujer
164,Pantalón en mezcla de lino,$499.00,Mujer
165,Sandalias para piscina,$349.00,Mujer
166,Shorts Bermuda Baggy High en denim,$549.00,Mujer
167,Camisa de muselina,$449.00,Mujer
168,Playera larga con diseño,$449.00,Mujer
169,Top sin mangas,$249.00,Mujer
170,Top acanalado sin mangas,$199.00,Mujer
171,Vestido playero de malla,$749.00,Mujer
172,Camisa en mezcla de lino,$499.00,Mujer
173,3-pack de playeras,$299.00,Mujer
174,Playera Loose Fit con diseño,$449.00,Mujer
175,Top corto,$199.00,Mujer
176,Shorts biker deportivos en DryMove™,$299.00,Mujer
177,Sandalias para piscina,$349.00,Mujer
178,Falda circular de denim,"$1,299.00",Mujer
179,5-pack de bóxers,$299.00,Mujer
