Nombre,Precio,Categoría
Vestido de algodón,174.00,Ninos
Vestido con mangas abombadas,299.00,Ninos
Shorts en popelina de algodón,149.00,Ninos
Playera polo con zíper,187.00,Ninos
Playera con bolsillo,139.00,Ninos
Shorts de denim Loose Fit,284.00,Ninos
Vestido de satín con mangas abombadas,337.00,Ninos
5-pack de playeras con diseño,399.00,Ninos
3-pack de shorts en denim,562.00,Ninos
2-pack de playeras Henley,224.00,Ninos
Vestido plisado línea A,349.00,Ninos
Conjunto de 2 piezas,384.00,Ninos
Playera acanalada con borde de olán,149.00,Ninos
Pantalón ancho en mezcla de lino,349.00,Ninos
Playera con diseño,99.00,Ninos
Playera Henley,179.00,Ninos
Joggers en seersucker,329.00,Ninos
Pantalón en mezcla de lino,299.00,Ninos
Traje de baño,299.00,Ninos
Vestido de algodón,99.00,Ninos
Shorts biker de apariencia deslavada,99.00,Ninos
Top de punto con bordado inglés,99.00,Ninos
Shorts en french terry con diseño,149.00,Ninos
Conjunto de 2 piezas,299.00,Ninos
Shorts en french terry con diseño,126.65,Ninos
Playera con diseño,84.15,Ninos
Conjunto de 2 piezas con diseño,239.00,Ninos
Top de punto con bordado inglés,84.15,Ninos
Sandalias,279.65,Ninos
3-pack de playeras en punto de algodón,254.15,Ninos
Shorts caquis de algodón,159.00,Ninos
Top mangas mariposa,152.15,Ninos
Shorts biker de apariencia deslavada,84.15,Ninos
Vestido de algodón,84.15,Ninos
Shorts caquis de algodón,169.15,Ninos
Playera Henley y shorts,296.65,Ninos
Playera con lentejuelas reversibles,211.65,Ninos
Joggers de sarga,169.15,Ninos
Sandalias con correas,337.00,Ninos
Vestido con falda de tul y mangas globo,239.00,Ninos
Playera polo en piqué,152.15,Ninos
Vestido con olanes,152.15,Ninos
Traje de baño estampado,231.00,Ninos
7-pack Calcetines al tobillo,169.15,Ninos
Pijama de algodón,279.65,Ninos
Camisa de algodón con diseño,254.15,Ninos
2-pack Playeras de baño UPF 50,458.15,Ninos
Conjunto de baño,424.15,Ninos
Vestido de punto con olanes,169.15,Ninos
Camisa manga larga de algodón,169.15,Ninos
Shorts de punto con pliegues,152.15,Ninos
5-pack de shorts biker,424.15,Ninos
Bailarinas,279.65,Ninos
3-pack de playeras de algodón,224.00,Ninos
3-pack de playeras,254.15,Ninos
Pijama de algodón,211.65,Ninos
3-pack de tops de punto,319.00,Ninos
