Unnamed: 0,Nombre,Precio,Categoría
0,Precision sponge,84.15,Beauty
1,Esmalte de uñas,109.65,Beauty
2,6-pack Broches para cabello que evitan marcas,109.65,Beauty
3,Neceser,279.65,Beauty
4,3-pack de brillos labiales,149.00,Beauty
5,4-pack Broches para el cabello,99.00,Beauty
6,5-pack Brochas de maquillaje para ojos y rostro,199.00,Beauty
7,Cinta para el cabello con moño,129.00,Beauty
8,Rizador de pestañas,179.00,Beauty
9,Neceser estampado,199.00,Beauty
10,3-pack Esponjas de maquillaje,149.00,Beauty
11,Gel transparente para estilizar y fijar las cejas,179.00,Beauty
12,Delineador de labios cremoso,149.00,Beauty
13,"Bronceador en barra para labios, mejillas y ojos",249.00,Beauty
14,"Barra iluminadora para mejillas, labios y ojos",249.00,Beauty
15,Cepillo corporal en seco,249.00,Beauty
16,Cepillo corporal seco,249.00,Beauty
17,Iluminador corporal,199.00,Beauty
18,Máscara para cejas,199.00,Beauty
19,Brillo facial,199.00,Beauty
20,"Rubor en barra para mejillas, labios y ojos",249.00,Beauty
21,Máscara para pestañas efecto rizado,249.00,Beauty
22,Lápiz delineador suave para difuminar,149.00,Beauty
23,Esmalte de uñas,129.00,Beauty
24,Máscara de pestañas efecto alargador,249.00,Beauty
25,Lápiz de cejas angular,199.00,Beauty
26,Cera delineadora de cejas,199.00,Beauty
27,Iluminador,249.00,Beauty
28,Esmalte de uñas,129.00,Beauty
29,Polvo perfeccionador traslúcido,299.00,Beauty
30,Guantes para autobronceador,199.00,Beauty
31,Máscara para pestañas,249.00,Beauty
32,Corrector,229.00,Beauty
33,Labial líquido mate,249.00,Beauty
34,Labial satinado,299.00,Beauty
35,Máscara de volumen para pestañas,249.00,Beauty
36,Esmalte para uñas en gel,169.15,Beauty
37,Rubor,211.65,Beauty
38,Bronceador en polvo compacto,237.15,Beauty
39,Labial mate,254.15,Beauty
40,Gel Top Coat,169.15,Beauty
41,Esmalte para uñas en gel,169.15,Beauty
42,Esmalte para uñas en gel,169.15,Beauty
43,Esmalte para uñas en gel,169.15,Beauty
44,Brillo labial,41.65,Beauty
45,Toalla para cabello en microfibra,126.65,Beauty
